backlog,open_cases,inflow,cleared,backlog_heinous,backlog_lag1,backlog_lag2,backlog_lag3,cleared_lag1,cleared_lag2,cleared_lag3,inflow_lag1,inflow_lag2,inflow_lag3,backlog_mean3,cleared_mean3,inflow_mean3,growth_3mo,growth_1mo,clearance_rate,clearance_rate_3mo,load,stale_share,heinous_share,month_of_year,target_backlog_up_20pct_3mo
84,87,1,2,14,81,78,75,1,0,0,2,5,4,78.0,0.3333,3.6667,1.0769,1.037,0.0238,0.0043,3.0,0.9655,0.1667,11,0
84,89,4,2,13,84,81,78,2,1,0,1,2,5,81.0,1.0,2.6667,1.037,1.0,0.0238,0.0123,4.0,0.9438,0.1548,12,0
81,91,6,4,13,84,84,81,2,2,1,4,1,2,83.0,1.6667,2.3333,0.9759,0.9643,0.0494,0.0201,3.6,0.8901,0.1605,1,0
83,91,2,2,13,81,84,84,4,2,2,6,4,1,83.0,2.6667,3.6667,1.0,1.0247,0.0241,0.0321,0.75,0.9121,0.1566,2,0
87,99,9,1,13,83,81,84,2,4,2,2,6,4,82.6667,2.6667,4.0,1.0524,1.0482,0.0115,0.0323,3.375,0.8788,0.1494,3,0
10,17,3,3,3,8,8,7,1,2,4,4,4,3,7.6667,2.3333,3.6667,1.3043,1.25,0.3,0.3043,1.2857,0.5882,0.3,9,1
12,19,4,2,3,10,8,8,3,1,2,3,4,4,8.6667,2.0,3.6667,1.3846,1.2,0.1667,0.2308,2.0,0.6316,0.25,10,1
13,19,2,2,3,12,10,8,2,3,1,4,3,4,10.0,2.0,3.6667,1.3,1.0833,0.1538,0.2,1.0,0.6842,0.2308,11,1
16,24,5,0,4,13,12,10,2,2,3,2,4,3,11.6667,2.3333,3.0,1.3714,1.2308,0.0,0.2,2.1429,0.6667,0.25,12,1
17,26,4,2,5,16,13,12,0,2,2,5,2,4,13.6667,1.3333,3.6667,1.2439,1.0625,0.1176,0.0976,3.0,0.6538,0.2941,1,1
19,25,1,2,5,17,16,13,2,0,2,4,5,2,15.3333,1.3333,3.6667,1.2391,1.1176,0.1053,0.087,0.75,0.76,0.2632,2,1
23,26,2,1,6,19,17,16,2,2,0,1,4,5,17.3333,1.3333,3.3333,1.3269,1.2105,0.0435,0.0769,1.5,0.8846,0.2609,3,0
22,29,5,2,6,23,19,17,1,2,2,2,1,4,19.6667,1.6667,2.3333,1.1186,0.9565,0.0909,0.0847,3.0,0.7586,0.2727,4,1
25,34,5,0,6,22,23,19,2,1,2,5,2,1,21.3333,1.6667,2.6667,1.1719,1.1364,0.0,0.0781,3.0,0.7353,0.24,5,0
27,33,2,3,5,25,22,23,0,2,1,5,5,2,23.3333,1.0,4.0,1.1571,1.08,0.1111,0.0429,2.0,0.8182,0.1852,6,0
30,34,2,1,5,27,25,22,3,0,2,2,5,5,24.6667,1.6667,4.0,1.2162,1.1111,0.0333,0.0676,1.2,0.8824,0.1667,7,0
28,35,5,4,5,30,27,25,1,3,0,2,2,5,27.3333,1.3333,3.0,1.0244,0.9333,0.1429,0.0488,3.75,0.8,0.1786,8,1
30,38,4,1,5,28,30,27,4,1,3,5,2,2,28.3333,2.6667,3.0,1.0588,1.0714,0.0333,0.0941,1.5,0.7895,0.1667,9,1
33,47,11,2,5,30,28,30,1,4,1,4,5,2,29.3333,2.0,3.6667,1.125,1.1,0.0606,0.0682,5.5,0.7021,0.1515,10,1
34,49,5,3,5,33,30,28,2,1,4,11,4,5,30.3333,2.3333,6.6667,1.1209,1.0303,0.0882,0.0769,2.1429,0.6939,0.1471,11,1
41,50,4,3,5,34,33,30,3,2,1,5,11,4,32.3333,2.0,6.6667,1.268,1.2059,0.0732,0.0619,2.0,0.82,0.122,12,0
43,51,4,3,6,41,34,33,3,3,2,4,5,11,36.0,2.6667,6.6667,1.1944,1.0488,0.0698,0.0741,1.5,0.8431,0.1395,1,0
46,52,1,0,6,43,41,34,3,3,3,4,4,5,39.3333,3.0,4.3333,1.1695,1.0698,0.0,0.0763,0.3333,0.8846,0.1304,2,0
44,51,3,4,7,46,43,41,0,3,3,1,4,4,43.3333,2.0,3.0,1.0154,0.9565,0.0909,0.0462,1.5,0.8627,0.1591,3,0
44,52,4,3,9,44,46,43,4,0,3,3,1,4,44.3333,2.3333,2.6667,0.9925,1.0,0.0682,0.0526,1.7143,0.8462,0.2045,4,0
44,55,7,4,9,44,44,46,3,4,0,4,3,1,44.6667,2.3333,2.6667,0.9851,1.0,0.0909,0.0522,3.0,0.8,0.2045,5,1
49,60,5,0,9,44,44,44,4,3,4,7,4,3,44.0,3.6667,4.6667,1.1136,1.1136,0.0,0.0833,1.3636,0.8167,0.1837,6,0
52,59,1,2,8,49,44,44,0,4,3,5,7,4,45.6667,2.3333,5.3333,1.1387,1.0612,0.0385,0.0511,0.4286,0.8814,0.1538,7,0
55,61,5,3,9,52,49,44,2,0,4,1,5,7,48.3333,2.0,4.3333,1.1379,1.0577,0.0545,0.0414,2.5,0.9016,0.1636,8,0
51,64,8,5,9,55,52,49,3,2,0,5,1,5,52.0,1.6667,3.6667,0.9808,0.9273,0.098,0.0321,4.8,0.7969,0.1765,9,1
55,65,3,2,9,51,55,52,5,3,2,8,5,1,52.6667,3.3333,4.6667,1.0443,1.0784,0.0364,0.0633,0.9,0.8462,0.1636,10,0
60,69,6,2,9,55,51,55,2,5,3,3,8,5,53.6667,3.3333,5.3333,1.118,1.0909,0.0333,0.0621,1.8,0.8696,0.15,11,0
62,72,5,2,9,60,55,51,2,2,5,6,3,8,55.3333,3.0,5.6667,1.1205,1.0333,0.0323,0.0542,1.6667,0.8611,0.1452,12,0
62,74,6,4,9,62,60,55,2,2,2,5,6,3,59.0,2.0,4.6667,1.0508,1.0,0.0645,0.0339,3.0,0.8378,0.1452,1,0
65,75,4,3,11,62,62,60,4,2,2,6,5,6,61.3333,2.6667,5.6667,1.0598,1.0484,0.0462,0.0435,1.5,0.8667,0.1692,2,0
67,79,7,3,11,65,62,62,3,4,2,4,6,5,63.0,3.0,5.0,1.0635,1.0308,0.0448,0.0476,2.3333,0.8481,0.1642,3,1
10,17,3,0,0,8,7,4,2,0,0,4,4,1,6.3333,0.6667,3.0,1.5789,1.25,0.0,0.1053,4.5,0.5882,0.0,7,1
13,21,4,0,0,10,8,7,0,2,0,3,4,4,8.3333,0.6667,3.6667,1.56,1.3,0.0,0.08,6.0,0.619,0.0,8,1
15,25,6,2,1,13,10,8,0,0,2,4,3,4,10.3333,0.6667,3.6667,1.4516,1.1538,0.1333,0.0645,9.0,0.6,0.0667,9,1
18,32,10,3,1,15,13,10,2,0,0,6,4,3,12.6667,0.6667,4.3333,1.4211,1.2,0.1667,0.0526,15.0,0.5625,0.0556,10,1
21,38,8,2,1,18,15,13,3,2,0,10,6,4,15.3333,1.6667,6.6667,1.3696,1.1667,0.0952,0.1087,4.8,0.5526,0.0476,11,1
29,45,10,3,2,21,18,15,2,3,2,8,10,6,18.0,2.3333,8.0,1.6111,1.381,0.1034,0.1296,4.2857,0.6444,0.069,12,1
32,49,6,2,2,29,21,18,3,2,3,10,8,10,22.6667,2.6667,9.3333,1.4118,1.1034,0.0625,0.1176,2.25,0.6531,0.0625,1,1
39,51,4,2,3,32,29,21,2,3,2,6,10,8,27.3333,2.3333,8.0,1.4268,1.2188,0.0513,0.0854,1.7143,0.7647,0.0769,2,0
42,51,4,4,4,39,32,29,2,2,3,4,6,10,33.3333,2.3333,6.6667,1.26,1.0769,0.0952,0.07,1.7143,0.8235,0.0952,3,0
43,52,4,3,5,42,39,32,4,2,2,4,4,6,37.6667,2.6667,4.6667,1.1416,1.0238,0.0698,0.0708,1.5,0.8269,0.1163,4,0
43,52,4,4,5,43,42,39,3,4,2,4,4,4,41.3333,3.0,4.0,1.0403,1.0,0.093,0.0726,1.3333,0.8269,0.1163,5,0
45,52,3,3,6,43,43,42,4,3,4,4,4,4,42.6667,3.6667,4.0,1.0547,1.0465,0.0667,0.0859,0.8182,0.8654,0.1333,6,0
48,54,4,2,6,45,43,43,3,4,3,3,4,4,43.6667,3.3333,3.6667,1.0992,1.0667,0.0417,0.0763,1.2,0.8889,0.125,7,0
49,58,5,1,6,48,45,43,2,3,4,4,3,4,45.3333,3.0,3.6667,1.0809,1.0208,0.0204,0.0662,1.6667,0.8448,0.1224,8,0
51,62,5,1,5,49,48,45,1,2,3,5,4,3,47.3333,2.0,4.0,1.0775,1.0408,0.0196,0.0423,2.5,0.8226,0.098,9,0
53,65,6,3,6,51,49,48,1,1,2,5,5,4,49.3333,1.3333,4.6667,1.0743,1.0392,0.0566,0.027,4.5,0.8154,0.1132,10,0
57,69,5,1,7,53,51,49,3,1,1,6,5,5,51.0,1.6667,5.3333,1.1176,1.0755,0.0175,0.0327,3.0,0.8261,0.1228,11,0
60,71,5,3,8,57,53,51,1,3,1,5,6,5,53.6667,1.6667,5.3333,1.118,1.0526,0.05,0.0311,3.0,0.8451,0.1333,12,0
60,73,6,4,8,60,57,53,3,1,3,5,5,6,56.6667,2.3333,5.3333,1.0588,1.0,0.0667,0.0412,2.5714,0.8219,0.1333,1,0
66,78,6,1,10,60,60,57,4,3,1,6,5,5,59.0,2.6667,5.3333,1.1186,1.1,0.0152,0.0452,2.25,0.8462,0.1515,2,0
70,80,4,2,9,66,60,60,1,4,3,6,6,5,62.0,2.6667,5.6667,1.129,1.0606,0.0286,0.043,1.5,0.875,0.1286,3,0
72,83,5,2,9,70,66,60,2,1,4,4,6,6,65.3333,2.3333,5.3333,1.102,1.0286,0.0278,0.0357,2.1429,0.8675,0.125,4,0
74,81,4,6,10,72,70,66,2,2,1,5,4,6,69.3333,1.6667,5.0,1.0673,1.0278,0.0811,0.024,2.4,0.9136,0.1351,5,0
68,75,2,8,9,74,72,70,6,2,2,4,5,4,72.0,3.3333,4.3333,0.9444,0.9189,0.1176,0.0463,0.6,0.9067,0.1324,6,0
70,77,5,3,10,68,74,72,8,6,2,2,4,5,71.3333,5.3333,3.6667,0.9813,1.0294,0.0429,0.0748,0.9375,0.9091,0.1429,7,0
72,80,3,0,10,70,68,74,3,8,6,5,2,4,70.6667,5.6667,3.6667,1.0189,1.0286,0.0,0.0802,0.5294,0.9,0.1389,8,0
73,81,3,2,10,72,70,68,0,3,8,3,5,2,70.0,3.6667,3.3333,1.0429,1.0139,0.0274,0.0524,0.8182,0.9012,0.137,9,0
75,82,3,2,11,73,72,70,2,0,3,3,3,5,71.6667,1.6667,3.6667,1.0465,1.0274,0.0267,0.0233,1.8,0.9146,0.1467,10,0
77,87,6,1,12,75,73,72,2,2,0,3,3,3,73.3333,1.3333,3.0,1.05,1.0267,0.013,0.0182,4.5,0.8851,0.1558,11,0
81,94,7,0,13,77,75,73,1,2,2,6,3,3,75.0,1.6667,4.0,1.08,1.0519,0.0,0.0222,4.2,0.8617,0.1605,12,0
85,96,4,2,13,81,77,75,0,1,2,7,6,3,77.6667,1.0,5.3333,1.0944,1.0494,0.0235,0.0129,4.0,0.8854,0.1529,1,0
88,102,8,2,12,85,81,77,2,0,1,4,7,6,81.0,1.0,5.6667,1.0864,1.0353,0.0227,0.0123,8.0,0.8627,0.1364,2,0
93,110,10,2,14,88,85,81,2,2,0,8,4,7,84.6667,1.3333,6.3333,1.0984,1.0568,0.0215,0.0157,7.5,0.8455,0.1505,3,0
14,25,5,1,2,9,4,3,0,1,0,6,4,7,5.3333,0.3333,5.6667,2.625,1.5556,0.0714,0.0625,15.0,0.56,0.1429,6,1
18,28,3,0,2,14,9,4,1,0,1,5,6,4,9.0,0.6667,5.0,2.0,1.2857,0.0,0.0741,4.5,0.6429,0.1111,7,1
24,30,2,0,4,18,14,9,0,1,0,3,5,6,13.6667,0.3333,4.6667,1.7561,1.3333,0.0,0.0244,6.0,0.8,0.1667,8,0
22,28,3,5,4,24,18,14,0,0,1,2,3,5,18.6667,0.3333,3.3333,1.1786,0.9167,0.2273,0.0179,9.0,0.7857,0.1818,9,1
23,32,6,2,5,22,24,18,5,0,0,3,2,3,21.3333,1.6667,2.6667,1.0781,1.0455,0.087,0.0781,3.6,0.7188,0.2174,10,1
24,35,4,1,4,23,22,24,2,5,0,6,3,2,23.0,2.3333,3.6667,1.0435,1.0435,0.0417,0.1014,1.7143,0.6857,0.1667,11,1
29,37,3,1,4,24,23,22,1,2,5,4,6,3,23.0,2.6667,4.3333,1.2609,1.2083,0.0345,0.1159,1.125,0.7838,0.1379,12,0
32,38,3,2,5,29,24,23,1,1,2,3,4,6,25.3333,1.3333,4.3333,1.2632,1.1034,0.0625,0.0526,2.25,0.8421,0.1562,1,0
31,38,3,3,4,32,29,24,2,1,1,3,3,4,28.3333,1.3333,3.3333,1.0941,0.9688,0.0968,0.0471,2.25,0.8158,0.129,2,0
32,38,3,3,4,31,32,29,3,2,1,3,3,3,30.6667,2.0,3.0,1.0435,1.0323,0.0938,0.0652,1.5,0.8421,0.125,3,0
32,41,6,3,3,32,31,32,3,3,2,3,3,3,31.6667,2.6667,3.0,1.0105,1.0,0.0938,0.0842,2.25,0.7805,0.0938,4,0
35,42,2,1,3,32,32,31,3,3,3,6,3,3,31.6667,3.0,4.0,1.1053,1.0938,0.0286,0.0947,0.6667,0.8333,0.0857,5,0
36,42,4,4,2,35,32,32,1,3,3,2,6,3,33.0,2.3333,3.6667,1.0909,1.0286,0.1111,0.0707,1.7143,0.8571,0.0556,6,1
38,48,7,1,2,36,35,32,4,1,3,4,2,6,34.3333,2.6667,4.0,1.1068,1.0556,0.0263,0.0777,2.625,0.7917,0.0526,7,1
41,53,7,2,2,38,36,35,1,4,1,7,4,2,36.3333,2.0,4.3333,1.1284,1.0789,0.0488,0.055,3.5,0.7736,0.0488,8,1
44,56,5,2,2,41,38,36,2,1,4,7,7,4,38.3333,2.3333,6.0,1.1478,1.0732,0.0455,0.0609,2.1429,0.7857,0.0455,9,0
48,62,8,2,4,44,41,38,2,2,1,5,7,7,41.0,1.6667,6.3333,1.1707,1.0909,0.0417,0.0407,4.8,0.7742,0.0833,10,0
51,64,6,4,6,48,44,41,2,2,2,8,5,7,44.3333,2.0,6.6667,1.1504,1.0625,0.0784,0.0451,3.0,0.7969,0.1176,11,0
51,62,5,7,6,51,48,44,4,2,2,6,8,5,47.6667,2.6667,6.3333,1.0699,1.0,0.1373,0.0559,1.875,0.8226,0.1176,12,0
57,64,3,1,8,51,51,48,7,4,2,5,6,8,50.0,4.3333,6.3333,1.14,1.1176,0.0175,0.0867,0.6923,0.8906,0.1404,1,0
57,61,1,4,8,57,51,51,1,7,4,3,5,6,53.0,4.0,4.6667,1.0755,1.0,0.0702,0.0755,0.25,0.9344,0.1404,2,0
56,64,5,2,8,57,57,51,4,1,7,1,3,5,55.0,4.0,3.0,1.0182,0.9825,0.0357,0.0727,1.25,0.875,0.1429,3,0
58,65,3,2,10,56,57,57,2,4,1,5,1,3,56.6667,2.3333,3.0,1.0235,1.0357,0.0345,0.0412,1.2857,0.8923,0.1724,4,0
56,63,3,5,9,58,56,57,2,2,4,3,5,1,57.0,2.6667,3.0,0.9825,0.9655,0.0893,0.0468,1.125,0.8889,0.1607,5,0
57,61,2,4,10,56,58,56,5,2,2,3,3,5,56.6667,3.0,3.6667,1.0059,1.0179,0.0702,0.0529,0.6667,0.9344,0.1754,6,0
59,65,4,0,10,57,56,58,4,5,2,2,3,3,57.0,3.6667,2.6667,1.0351,1.0351,0.0,0.0643,1.0909,0.9077,0.1695,7,0
58,66,5,4,9,59,57,56,0,4,5,4,2,3,57.3333,3.0,3.0,1.0116,0.9831,0.069,0.0523,1.6667,0.8788,0.1552,8,0
60,70,6,2,10,58,59,57,4,0,4,5,4,2,58.0,2.6667,3.6667,1.0345,1.0345,0.0333,0.046,2.25,0.8571,0.1667,9,1
63,79,11,2,10,60,58,59,2,4,0,6,5,4,59.0,2.0,5.0,1.0678,1.05,0.0317,0.0339,5.5,0.7975,0.1587,10,1
66,83,7,3,10,63,60,58,2,2,4,11,6,5,60.3333,2.6667,7.3333,1.0939,1.0476,0.0455,0.0442,2.625,0.7952,0.1515,11,0
73,83,4,4,10,66,63,60,3,2,2,7,11,6,63.0,2.3333,8.0,1.1587,1.1061,0.0548,0.037,1.7143,0.8795,0.137,12,0
77,90,9,2,9,73,66,63,4,3,2,4,7,11,67.3333,3.0,7.3333,1.1436,1.0548,0.026,0.0446,3.0,0.8556,0.1169,1,0
78,95,7,2,10,77,73,66,2,4,3,9,4,7,72.0,3.0,6.6667,1.0833,1.013,0.0256,0.0417,2.3333,0.8211,0.1282,2,1
84,104,10,1,11,78,77,73,2,2,4,7,9,4,76.0,2.6667,6.6667,1.1053,1.0769,0.0119,0.0351,3.75,0.8077,0.131,3,0
13,18,5,2,2,8,6,4,1,4,1,0,7,4,6.0,2.0,3.6667,2.1667,1.625,0.1538,0.3333,2.5,0.7222,0.1538,6,1
12,20,3,1,2,13,8,6,2,1,4,5,0,7,9.0,2.3333,4.0,1.3333,0.9231,0.0833,0.2593,1.2857,0.6,0.1667,7,1
17,25,6,1,2,12,13,8,1,2,1,3,5,0,11.0,1.3333,2.6667,1.5455,1.4167,0.0588,0.1212,4.5,0.68,0.1176,8,1
18,27,4,2,2,17,12,13,1,1,2,6,3,5,14.0,1.3333,4.6667,1.2857,1.0588,0.1111,0.0952,3.0,0.6667,0.1111,9,1
22,36,9,0,2,18,17,12,2,1,1,4,6,3,15.6667,1.3333,4.3333,1.4043,1.2222,0.0,0.0851,6.75,0.6111,0.0909,10,1
26,42,7,1,4,22,18,17,0,2,1,9,4,6,19.0,1.0,6.3333,1.3684,1.1818,0.0385,0.0526,7.0,0.619,0.1538,11,1
34,44,4,2,4,26,22,18,1,0,2,7,9,4,22.0,1.0,6.6667,1.5455,1.3077,0.0588,0.0455,4.0,0.7727,0.1176,12,0
35,41,3,6,4,34,26,22,2,1,0,4,7,9,27.3333,1.0,6.6667,1.2805,1.0294,0.1714,0.0366,3.0,0.8537,0.1143,1,0
35,43,4,2,4,35,34,26,6,2,1,3,4,7,31.6667,3.0,4.6667,1.1053,1.0,0.0571,0.0947,1.3333,0.814,0.1143,2,0
38,47,6,2,6,35,35,34,2,6,2,4,3,4,34.6667,3.3333,3.6667,1.0962,1.0857,0.0526,0.0962,1.8,0.8085,0.1579,3,0
37,49,6,4,5,38,35,35,2,2,6,6,4,3,36.0,3.3333,4.3333,1.0278,0.9737,0.1081,0.0926,1.8,0.7551,0.1351,4,0
42,52,3,0,6,37,38,35,4,2,2,6,6,4,36.6667,2.6667,5.3333,1.1455,1.1351,0.0,0.0727,1.125,0.8077,0.1429,5,0
45,51,2,3,7,42,37,38,0,4,2,3,6,6,39.0,2.0,5.0,1.1538,1.0714,0.0667,0.0513,1.0,0.8824,0.1556,6,0
44,51,4,4,8,45,42,37,3,0,4,2,3,6,41.3333,2.3333,3.6667,1.0645,0.9778,0.0909,0.0565,1.7143,0.8627,0.1818,7,0
48,56,5,0,9,44,45,42,4,3,0,4,2,3,43.6667,2.3333,3.0,1.0992,1.0909,0.0,0.0534,2.1429,0.8571,0.1875,8,0
48,58,5,3,8,48,44,45,0,4,3,5,4,2,45.6667,2.3333,3.6667,1.0511,1.0,0.0625,0.0511,2.1429,0.8276,0.1667,9,0
52,61,4,1,8,48,48,44,3,0,4,5,5,4,46.6667,2.3333,4.6667,1.1143,1.0833,0.0192,0.05,1.7143,0.8525,0.1538,10,0
54,62,5,4,8,52,48,48,1,3,0,4,5,5,49.3333,1.3333,4.6667,1.0946,1.0385,0.0741,0.027,3.75,0.871,0.1481,11,0
54,64,5,3,8,54,52,48,4,1,3,5,4,5,51.3333,2.6667,4.6667,1.0519,1.0,0.0556,0.0519,1.875,0.8438,0.1481,12,0
57,69,5,0,8,54,54,52,3,4,1,5,5,4,53.3333,2.6667,4.6667,1.0687,1.0556,0.0,0.05,1.875,0.8261,0.1404,1,0
59,70,6,5,11,57,54,54,0,3,4,5,5,5,55.0,2.3333,5.0,1.0727,1.0351,0.0847,0.0424,2.5714,0.8429,0.1864,2,0
61,72,5,3,11,59,57,54,5,0,3,6,5,5,56.6667,2.6667,5.3333,1.0765,1.0339,0.0492,0.0471,1.875,0.8472,0.1803,3,0
66,73,3,2,11,61,59,57,3,5,0,5,6,5,59.0,2.6667,5.3333,1.1186,1.082,0.0303,0.0452,1.125,0.9041,0.1667,4,0
70,79,6,0,11,66,61,59,2,3,5,3,5,6,62.0,3.3333,4.6667,1.129,1.0606,0.0,0.0538,1.8,0.8861,0.1571,5,0
69,77,3,5,11,70,66,61,0,2,3,6,3,5,65.6667,1.6667,4.6667,1.0508,0.9857,0.0725,0.0254,1.8,0.8961,0.1594,6,0
71,78,2,1,11,69,70,66,5,0,2,3,6,3,68.3333,2.3333,4.0,1.039,1.029,0.0141,0.0341,0.8571,0.9103,0.1549,7,0
72,76,3,5,13,71,69,70,1,5,0,2,3,6,70.0,2.0,3.6667,1.0286,1.0141,0.0694,0.0286,1.5,0.9474,0.1806,8,0
73,75,0,1,13,72,71,69,5,1,5,3,2,3,70.6667,3.6667,2.6667,1.033,1.0139,0.0137,0.0519,0.0,0.9733,0.1781,9,0
72,78,6,3,13,73,72,71,1,5,1,0,3,2,72.0,2.3333,1.6667,1.0,0.9863,0.0417,0.0324,2.5714,0.9231,0.1806,10,0
71,81,4,1,13,72,73,72,3,1,5,6,0,3,72.3333,3.0,3.0,0.9816,0.9861,0.0141,0.0415,1.3333,0.8765,0.1831,11,0
75,83,3,1,13,71,72,73,1,3,1,4,6,0,72.0,1.6667,3.3333,1.0417,1.0563,0.0133,0.0231,1.8,0.9036,0.1733,12,0
77,86,5,2,14,75,71,72,1,1,3,3,4,6,72.6667,1.6667,4.3333,1.0596,1.0267,0.026,0.0229,3.0,0.8953,0.1818,1,1
81,100,14,0,15,77,75,71,2,1,1,5,3,4,74.3333,1.3333,4.0,1.0897,1.0519,0.0,0.0179,10.5,0.81,0.1852,2,1
84,106,7,1,15,81,77,75,0,2,1,14,5,3,77.6667,1.0,7.3333,1.0815,1.037,0.0119,0.0129,7.0,0.7925,0.1786,3,1
11,26,7,3,0,8,6,4,1,1,1,8,6,3,6.0,1.0,5.6667,1.8333,1.375,0.2727,0.1667,7.0,0.4231,0.0,6,1
16,28,6,4,0,11,8,6,3,1,1,7,8,6,8.3333,1.6667,7.0,1.92,1.4545,0.25,0.2,3.6,0.5714,0.0,7,1
20,29,4,3,0,16,11,8,4,3,1,6,7,8,11.6667,2.6667,7.0,1.7143,1.25,0.15,0.2286,1.5,0.6897,0.0,8,0
23,29,2,2,0,20,16,11,3,4,3,4,6,7,15.6667,3.3333,5.6667,1.4681,1.15,0.087,0.2128,0.6,0.7931,0.0,9,1
22,34,9,4,0,23,20,16,2,3,4,2,4,6,19.6667,3.0,4.0,1.1186,0.9565,0.1818,0.1525,3.0,0.6471,0.0,10,1
23,39,7,2,1,22,23,20,4,2,3,9,2,4,21.6667,3.0,5.0,1.0615,1.0455,0.087,0.1385,2.3333,0.5897,0.0435,11,1
30,39,2,2,1,23,22,23,2,4,2,7,9,2,22.6667,2.6667,6.0,1.3235,1.3043,0.0667,0.1176,0.75,0.7692,0.0333,12,0
34,40,3,2,2,30,23,22,2,2,4,2,7,9,25.0,2.6667,6.0,1.36,1.1333,0.0588,0.1067,1.125,0.85,0.0588,1,0
36,44,5,1,3,34,30,23,2,2,2,3,2,7,29.0,2.0,4.0,1.2414,1.0588,0.0278,0.069,2.5,0.8182,0.0833,2,0
36,45,3,2,2,36,34,30,1,2,2,5,3,2,33.3333,1.6667,3.3333,1.08,1.0,0.0556,0.05,1.8,0.8,0.0556,3,0
37,40,1,6,3,36,36,34,2,1,2,3,5,3,35.3333,1.6667,3.6667,1.0472,1.0278,0.1622,0.0472,0.6,0.925,0.0811,4,0
36,44,6,2,3,37,36,36,6,2,1,1,3,5,36.3333,3.0,3.0,0.9908,0.973,0.0556,0.0826,2.0,0.8182,0.0833,5,1
35,48,7,3,3,36,37,36,2,6,2,6,1,3,36.3333,3.3333,3.3333,0.9633,0.9722,0.0857,0.0917,2.1,0.7292,0.0857,6,1
38,48,3,3,3,35,36,37,3,2,6,7,6,1,36.0,3.6667,4.6667,1.0556,1.0857,0.0789,0.1019,0.8182,0.7917,0.0789,7,1
44,50,4,2,5,38,35,36,3,3,2,3,7,6,36.3333,2.6667,5.3333,1.211,1.1579,0.0455,0.0734,1.5,0.88,0.1136,8,0
46,53,4,1,5,44,38,35,2,3,3,4,3,7,39.0,2.6667,4.6667,1.1795,1.0455,0.0217,0.0684,1.5,0.8679,0.1087,9,0
46,57,6,2,5,46,44,38,1,2,3,4,4,3,42.6667,2.0,3.6667,1.0781,1.0,0.0435,0.0469,3.0,0.807,0.1087,10,0
48,60,7,4,5,46,46,44,2,1,2,6,4,4,45.3333,1.6667,4.6667,1.0588,1.0435,0.0833,0.0368,4.2,0.8,0.1042,11,0
52,59,1,2,4,48,46,46,4,2,1,7,6,4,46.6667,2.3333,5.6667,1.1143,1.0833,0.0385,0.05,0.4286,0.8814,0.0769,12,0
54,58,2,3,4,52,48,46,2,4,2,1,7,6,48.6667,2.6667,4.6667,1.1096,1.0385,0.0556,0.0548,0.75,0.931,0.0741,1,0
54,64,7,1,5,54,52,48,3,2,4,2,1,7,51.3333,3.0,3.3333,1.0519,1.0,0.0185,0.0584,2.3333,0.8438,0.0926,2,0
56,65,2,1,6,54,54,52,1,3,2,7,2,1,53.3333,2.0,3.3333,1.05,1.037,0.0179,0.0375,1.0,0.8615,0.1071,3,0
59,64,3,4,6,56,54,54,1,1,3,2,7,2,54.6667,1.6667,3.6667,1.0793,1.0536,0.0678,0.0305,1.8,0.9219,0.1017,4,0
60,67,4,1,5,59,56,54,4,1,1,3,2,7,56.3333,2.0,4.0,1.0651,1.0169,0.0167,0.0355,2.0,0.8955,0.0833,5,0
61,74,9,2,5,60,59,56,1,4,1,4,3,2,58.3333,2.0,3.0,1.0457,1.0167,0.0328,0.0343,4.5,0.8243,0.082,6,0
63,74,2,2,5,61,60,59,2,1,4,9,4,3,60.0,2.3333,5.3333,1.05,1.0328,0.0317,0.0389,0.8571,0.8514,0.0794,7,0
70,76,4,2,6,63,61,60,2,2,1,2,9,4,61.3333,1.6667,5.0,1.1413,1.1111,0.0286,0.0272,2.4,0.9211,0.0857,8,0
72,79,3,0,6,70,63,61,2,2,2,4,2,9,64.6667,2.0,5.0,1.1134,1.0286,0.0,0.0309,1.5,0.9114,0.0833,9,0
74,83,6,2,6,72,70,63,0,2,2,3,4,2,68.3333,1.3333,3.0,1.0829,1.0278,0.027,0.0195,4.5,0.8916,0.0811,10,0
77,85,4,2,7,74,72,70,2,0,2,6,3,4,72.0,1.3333,4.3333,1.0694,1.0405,0.026,0.0185,3.0,0.9059,0.0909,11,0
76,88,10,7,7,77,74,72,2,2,0,4,6,3,74.3333,1.3333,4.3333,1.0224,0.987,0.0921,0.0179,7.5,0.8636,0.0921,12,0
78,88,3,3,7,76,77,74,7,2,2,10,4,6,75.6667,3.6667,6.6667,1.0308,1.0263,0.0385,0.0485,0.8182,0.8864,0.0897,1,0
83,93,6,1,7,78,76,77,3,7,2,3,10,4,77.0,4.0,5.6667,1.0779,1.0641,0.012,0.0519,1.5,0.8925,0.0843,2,0
84,101,10,2,8,83,78,76,1,3,7,6,3,10,79.0,3.6667,6.3333,1.0633,1.012,0.0238,0.0464,2.7273,0.8317,0.0952,3,1
13,24,6,0,0,9,6,2,0,1,0,5,4,4,5.6667,0.3333,4.3333,2.2941,1.4444,0.0,0.0588,18.0,0.5417,0.0,6,1
15,27,4,1,1,13,9,6,0,0,1,6,5,4,9.3333,0.3333,5.0,1.6071,1.1538,0.0667,0.0357,12.0,0.5556,0.0667,7,1
