row_key,district_name,crime_head,month,district_id,crime_head_id,month_index,month_of_year,lag_1,lag_2,lag_3,lag_12,roll_3,roll_6,roll_12,district_lag_1,head_share,target
14-1-2025-07,Hassan,Crimes Against Body,2025-07,14,1,24306,7,3,1,4,2,2.667,3.833,2.583,17,0.1765,4
14-1-2025-08,Hassan,Crimes Against Body,2025-08,14,1,24307,8,4,3,1,3,2.667,3.5,2.75,20,0.2,5
14-1-2025-09,Hassan,Crimes Against Body,2025-09,14,1,24308,9,5,4,3,1,4.0,3.5,2.917,28,0.1786,4
14-1-2025-10,Hassan,Crimes Against Body,2025-10,14,1,24309,10,4,5,4,0,4.333,3.5,3.167,22,0.1818,2
14-1-2025-11,Hassan,Crimes Against Body,2025-11,14,1,24310,11,2,4,5,0,3.667,3.167,3.333,22,0.0909,3
14-1-2025-12,Hassan,Crimes Against Body,2025-12,14,1,24311,12,3,2,4,2,3.0,3.5,3.583,27,0.1111,2
14-1-2026-01,Hassan,Crimes Against Body,2026-01,14,1,24312,1,2,3,2,6,2.333,3.333,3.583,20,0.1,7
14-1-2026-02,Hassan,Crimes Against Body,2026-02,14,1,24313,2,7,2,3,5,4.0,3.833,3.667,46,0.1522,2
14-1-2026-03,Hassan,Crimes Against Body,2026-03,14,1,24314,3,2,7,2,4,3.667,3.333,3.417,32,0.0625,10
14-1-2026-04,Hassan,Crimes Against Body,2026-04,14,1,24315,4,10,2,7,4,6.333,4.333,3.917,40,0.25,4
14-1-2026-05,Hassan,Crimes Against Body,2026-05,14,1,24316,5,4,10,2,1,5.333,4.667,3.917,34,0.1176,6
14-1-2026-06,Hassan,Crimes Against Body,2026-06,14,1,24317,6,6,4,10,3,6.667,5.167,4.333,54,0.1111,3
14-2-2024-02,Hassan,Crimes Against Property,2024-02,14,2,24289,2,6,7,27,7,13.333,11.5,8.583,21,0.2857,6
14-2-2024-03,Hassan,Crimes Against Property,2024-03,14,2,24290,3,6,6,7,4,6.333,10.833,8.5,22,0.2727,11
14-2-2024-04,Hassan,Crimes Against Property,2024-04,14,2,24291,4,11,6,6,3,7.667,11.833,9.083,27,0.4074,6
14-2-2024-05,Hassan,Crimes Against Property,2024-05,14,2,24292,5,6,11,6,10,7.667,10.5,9.333,17,0.3529,6
14-2-2024-06,Hassan,Crimes Against Property,2024-06,14,2,24293,6,6,6,11,6,7.667,7.0,9.0,15,0.4,5
14-2-2024-07,Hassan,Crimes Against Property,2024-07,14,2,24294,7,5,6,6,4,5.667,6.667,8.917,16,0.3125,6
14-2-2024-08,Hassan,Crimes Against Property,2024-08,14,2,24295,8,6,5,6,10,5.667,6.667,9.083,18,0.3333,9
14-2-2024-09,Hassan,Crimes Against Property,2024-09,14,2,24296,9,9,6,5,5,6.667,7.167,9.0,17,0.5294,10
14-2-2024-10,Hassan,Crimes Against Property,2024-10,14,2,24297,10,10,9,6,14,8.333,7.0,9.417,22,0.4545,19
14-2-2024-11,Hassan,Crimes Against Property,2024-11,14,2,24298,11,19,10,9,27,12.667,9.167,9.833,29,0.6552,13
14-2-2024-12,Hassan,Crimes Against Property,2024-12,14,2,24299,12,13,19,10,7,14.0,10.333,8.667,21,0.619,7
14-2-2025-01,Hassan,Crimes Against Property,2025-01,14,2,24300,1,7,13,19,6,13.0,10.667,8.667,19,0.3684,8
14-2-2025-02,Hassan,Crimes Against Property,2025-02,14,2,24301,2,8,7,13,6,9.333,11.0,8.833,23,0.3478,0
14-2-2025-03,Hassan,Crimes Against Property,2025-03,14,2,24302,3,0,8,7,11,5.0,9.5,8.333,8,0.0,3
14-2-2025-04,Hassan,Crimes Against Property,2025-04,14,2,24303,4,3,0,8,6,3.667,8.333,7.667,18,0.1667,7
14-2-2025-05,Hassan,Crimes Against Property,2025-05,14,2,24304,5,7,3,0,6,3.333,6.333,7.75,25,0.28,3
14-2-2025-06,Hassan,Crimes Against Property,2025-06,14,2,24305,6,3,7,3,5,4.333,4.667,7.5,6,0.5,8
14-2-2025-07,Hassan,Crimes Against Property,2025-07,14,2,24306,7,8,3,7,6,6.0,4.833,7.75,17,0.4706,4
14-2-2025-08,Hassan,Crimes Against Property,2025-08,14,2,24307,8,4,8,3,9,5.0,4.167,7.583,20,0.2,13
14-2-2025-09,Hassan,Crimes Against Property,2025-09,14,2,24308,9,13,4,8,10,8.333,6.333,7.917,28,0.4643,8
14-2-2025-10,Hassan,Crimes Against Property,2025-10,14,2,24309,10,8,13,4,19,8.333,7.167,7.75,22,0.3636,15
14-2-2025-11,Hassan,Crimes Against Property,2025-11,14,2,24310,11,15,8,13,13,12.0,8.5,7.417,22,0.6818,18
14-2-2025-12,Hassan,Crimes Against Property,2025-12,14,2,24311,12,18,15,8,7,13.667,11.0,7.833,27,0.6667,7
14-2-2026-01,Hassan,Crimes Against Property,2026-01,14,2,24312,1,7,18,15,8,13.333,10.833,7.833,20,0.35,13
14-2-2026-02,Hassan,Crimes Against Property,2026-02,14,2,24313,2,13,7,18,0,12.667,12.333,8.25,46,0.2826,17
14-2-2026-03,Hassan,Crimes Against Property,2026-03,14,2,24314,3,17,13,7,3,12.333,13.0,9.667,32,0.5312,13
14-2-2026-04,Hassan,Crimes Against Property,2026-04,14,2,24315,4,13,17,13,7,14.333,13.833,10.5,40,0.325,19
14-2-2026-05,Hassan,Crimes Against Property,2026-05,14,2,24316,5,19,13,17,3,16.333,14.5,11.5,34,0.5588,24
14-2-2026-06,Hassan,Crimes Against Property,2026-06,14,2,24317,6,24,19,13,8,18.667,15.5,13.25,54,0.4444,10
14-3-2024-02,Hassan,Crimes Against Women,2024-02,14,3,24289,2,1,5,2,2,2.667,1.833,1.75,21,0.0476,1
14-3-2024-03,Hassan,Crimes Against Women,2024-03,14,3,24290,3,1,1,5,2,2.333,1.5,1.667,22,0.0455,1
14-3-2024-04,Hassan,Crimes Against Women,2024-04,14,3,24291,4,1,1,1,3,1.0,1.667,1.583,27,0.037,0
14-3-2024-05,Hassan,Crimes Against Women,2024-05,14,3,24292,5,0,1,1,2,0.667,1.667,1.333,17,0.0,1
14-3-2024-06,Hassan,Crimes Against Women,2024-06,14,3,24293,6,1,0,1,0,0.667,1.5,1.25,15,0.0667,0
14-3-2024-07,Hassan,Crimes Against Women,2024-07,14,3,24294,7,0,1,0,1,0.333,0.667,1.25,16,0.0,4
14-3-2024-08,Hassan,Crimes Against Women,2024-08,14,3,24295,8,4,0,1,3,1.667,1.167,1.5,18,0.2222,1
14-3-2024-09,Hassan,Crimes Against Women,2024-09,14,3,24296,9,1,4,0,0,1.667,1.167,1.333,17,0.0588,1
14-3-2024-10,Hassan,Crimes Against Women,2024-10,14,3,24297,10,1,1,4,0,2.0,1.167,1.417,22,0.0455,1
14-3-2024-11,Hassan,Crimes Against Women,2024-11,14,3,24298,11,1,1,1,2,1.0,1.333,1.5,29,0.0345,2
14-3-2024-12,Hassan,Crimes Against Women,2024-12,14,3,24299,12,2,1,1,5,1.333,1.5,1.5,21,0.0952,1
14-3-2025-01,Hassan,Crimes Against Women,2025-01,14,3,24300,1,1,2,1,1,1.333,1.667,1.167,19,0.0526,2
14-3-2025-02,Hassan,Crimes Against Women,2025-02,14,3,24301,2,2,1,2,1,1.667,1.333,1.25,23,0.087,1
14-3-2025-03,Hassan,Crimes Against Women,2025-03,14,3,24302,3,1,2,1,1,1.333,1.333,1.25,8,0.125,0
14-3-2025-04,Hassan,Crimes Against Women,2025-04,14,3,24303,4,0,1,2,0,1.0,1.167,1.167,18,0.0,0
14-3-2025-05,Hassan,Crimes Against Women,2025-05,14,3,24304,5,0,0,1,1,0.333,1.0,1.167,25,0.0,0
14-3-2025-06,Hassan,Crimes Against Women,2025-06,14,3,24305,6,0,0,0,0,0.0,0.667,1.083,6,0.0,2
14-3-2025-07,Hassan,Crimes Against Women,2025-07,14,3,24306,7,2,0,0,4,0.667,0.833,1.25,17,0.1176,3
14-3-2025-08,Hassan,Crimes Against Women,2025-08,14,3,24307,8,3,2,0,1,1.667,1.0,1.167,20,0.15,1
14-3-2025-09,Hassan,Crimes Against Women,2025-09,14,3,24308,9,1,3,2,1,2.0,1.0,1.167,28,0.0357,2
14-3-2025-10,Hassan,Crimes Against Women,2025-10,14,3,24309,10,2,1,3,1,2.0,1.333,1.25,22,0.0909,1
14-3-2025-11,Hassan,Crimes Against Women,2025-11,14,3,24310,11,1,2,1,2,1.333,1.5,1.25,22,0.0455,3
14-3-2025-12,Hassan,Crimes Against Women,2025-12,14,3,24311,12,3,1,2,1,2.0,2.0,1.333,27,0.1111,4
14-3-2026-01,Hassan,Crimes Against Women,2026-01,14,3,24312,1,4,3,1,2,2.667,2.333,1.583,20,0.2,7
14-3-2026-02,Hassan,Crimes Against Women,2026-02,14,3,24313,2,7,4,3,1,4.667,3.0,2.0,46,0.1522,2
14-3-2026-03,Hassan,Crimes Against Women,2026-03,14,3,24314,3,2,7,4,0,4.333,3.167,2.083,32,0.0625,3
14-3-2026-04,Hassan,Crimes Against Women,2026-04,14,3,24315,4,3,2,7,0,4.0,3.333,2.333,40,0.075,1
14-3-2026-05,Hassan,Crimes Against Women,2026-05,14,3,24316,5,1,3,2,0,2.0,3.333,2.417,34,0.0294,4
14-3-2026-06,Hassan,Crimes Against Women,2026-06,14,3,24317,6,4,1,3,2,2.667,3.5,2.75,54,0.0741,2
14-4-2024-02,Hassan,Cyber Crime,2024-02,14,4,24289,2,5,1,4,1,3.333,3.167,3.667,21,0.2381,8
14-4-2024-03,Hassan,Cyber Crime,2024-03,14,4,24290,3,8,5,1,4,4.667,4.0,4.25,22,0.3636,5
14-4-2024-04,Hassan,Cyber Crime,2024-04,14,4,24291,4,5,8,5,3,6.0,4.333,4.333,27,0.1852,4
14-4-2024-05,Hassan,Cyber Crime,2024-05,14,4,24292,5,4,5,8,8,5.667,4.5,4.417,17,0.2353,2
14-4-2024-06,Hassan,Cyber Crime,2024-06,14,4,24293,6,2,4,5,5,3.667,4.167,3.917,15,0.1333,4
14-4-2024-07,Hassan,Cyber Crime,2024-07,14,4,24294,7,4,2,4,4,3.333,4.667,3.833,16,0.25,2
14-4-2024-08,Hassan,Cyber Crime,2024-08,14,4,24295,8,2,4,2,3,2.667,4.167,3.667,18,0.1111,2
14-4-2024-09,Hassan,Cyber Crime,2024-09,14,4,24296,9,2,2,4,3,2.667,3.167,3.583,17,0.1176,5
14-4-2024-10,Hassan,Cyber Crime,2024-10,14,4,24297,10,5,2,2,3,3.0,3.167,3.75,22,0.2273,4
14-4-2024-11,Hassan,Cyber Crime,2024-11,14,4,24298,11,4,5,2,4,3.667,3.167,3.833,29,0.1379,1
14-4-2024-12,Hassan,Cyber Crime,2024-12,14,4,24299,12,1,4,5,1,3.333,3.0,3.583,21,0.0476,5
14-4-2025-01,Hassan,Cyber Crime,2025-01,14,4,24300,1,5,1,4,5,3.333,3.167,3.917,19,0.2632,0
14-4-2025-02,Hassan,Cyber Crime,2025-02,14,4,24301,2,0,5,1,8,2.0,2.833,3.5,23,0.0,2
14-4-2025-03,Hassan,Cyber Crime,2025-03,14,4,24302,3,2,0,5,5,2.333,2.833,3.0,8,0.25,3
14-4-2025-04,Hassan,Cyber Crime,2025-04,14,4,24303,4,3,2,0,4,1.667,2.5,2.833,18,0.1667,7
14-4-2025-05,Hassan,Cyber Crime,2025-05,14,4,24304,5,7,3,2,2,4.0,3.0,3.083,25,0.28,0
14-4-2025-06,Hassan,Cyber Crime,2025-06,14,4,24305,6,0,7,3,4,3.333,2.833,2.917,6,0.0,1
14-4-2025-07,Hassan,Cyber Crime,2025-07,14,4,24306,7,1,0,7,2,2.667,2.167,2.667,17,0.0588,2
14-4-2025-08,Hassan,Cyber Crime,2025-08,14,4,24307,8,2,1,0,2,1.0,2.5,2.667,20,0.1,7
14-4-2025-09,Hassan,Cyber Crime,2025-09,14,4,24308,9,7,2,1,5,3.333,3.333,3.083,28,0.25,3
14-4-2025-10,Hassan,Cyber Crime,2025-10,14,4,24309,10,3,7,2,4,4.0,3.333,2.917,22,0.1364,0
14-4-2025-11,Hassan,Cyber Crime,2025-11,14,4,24310,11,0,3,7,1,3.333,2.167,2.583,22,0.0,1
14-4-2025-12,Hassan,Cyber Crime,2025-12,14,4,24311,12,1,0,3,5,1.333,2.333,2.583,27,0.037,3
14-4-2026-01,Hassan,Cyber Crime,2026-01,14,4,24312,1,3,1,0,0,1.333,2.667,2.417,20,0.15,11
14-4-2026-02,Hassan,Cyber Crime,2026-02,14,4,24313,2,11,3,1,2,5.0,4.167,3.333,46,0.2391,4
14-4-2026-03,Hassan,Cyber Crime,2026-03,14,4,24314,3,4,11,3,3,6.0,3.667,3.5,32,0.125,8
14-4-2026-04,Hassan,Cyber Crime,2026-04,14,4,24315,4,8,4,11,7,7.667,4.5,3.917,40,0.2,1
14-4-2026-05,Hassan,Cyber Crime,2026-05,14,4,24316,5,1,8,4,0,4.333,4.667,3.417,34,0.0294,7
14-4-2026-06,Hassan,Cyber Crime,2026-06,14,4,24317,6,7,1,8,1,5.333,5.667,4.0,54,0.1296,5
14-5-2024-03,Hassan,Economic Offences,2024-03,14,5,24290,3,1,4,1,1,2.0,1.5,1.667,22,0.0455,1
14-5-2024-04,Hassan,Economic Offences,2024-04,14,5,24291,4,1,1,4,1,2.0,1.667,1.667,27,0.037,1
14-5-2024-05,Hassan,Economic Offences,2024-05,14,5,24292,5,1,1,1,2,1.0,1.5,1.667,17,0.0588,0
14-5-2024-06,Hassan,Economic Offences,2024-06,14,5,24293,6,0,1,1,2,0.667,1.333,1.5,15,0.0,2
14-5-2024-07,Hassan,Economic Offences,2024-07,14,5,24294,7,2,0,1,0,1.0,1.5,1.5,16,0.125,3
14-5-2024-08,Hassan,Economic Offences,2024-08,14,5,24295,8,3,2,0,5,1.667,1.333,1.75,18,0.1667,0
14-5-2024-09,Hassan,Economic Offences,2024-09,14,5,24296,9,0,3,2,0,1.667,1.167,1.333,17,0.0,1
14-5-2024-10,Hassan,Economic Offences,2024-10,14,5,24297,10,1,0,3,2,1.333,1.167,1.417,22,0.0455,2
14-5-2024-11,Hassan,Economic Offences,2024-11,14,5,24298,11,2,1,0,1,1.0,1.333,1.417,29,0.069,3
14-5-2024-12,Hassan,Economic Offences,2024-12,14,5,24299,12,3,2,1,1,2.0,1.833,1.583,21,0.1429,0
14-5-2025-01,Hassan,Economic Offences,2025-01,14,5,24300,1,0,3,2,4,1.667,1.5,1.5,19,0.0,4
14-5-2025-02,Hassan,Economic Offences,2025-02,14,5,24301,2,4,0,3,1,2.333,1.667,1.5,23,0.1739,0
14-5-2025-03,Hassan,Economic Offences,2025-03,14,5,24302,3,0,4,0,1,1.333,1.667,1.417,8,0.0,0
14-5-2025-04,Hassan,Economic Offences,2025-04,14,5,24303,4,0,0,4,1,1.333,1.5,1.333,18,0.0,3
14-5-2025-05,Hassan,Economic Offences,2025-05,14,5,24304,5,3,0,0,0,1.0,1.667,1.5,25,0.12,0
14-5-2025-06,Hassan,Economic Offences,2025-06,14,5,24305,6,0,3,0,2,1.0,1.167,1.5,6,0.0,2
14-5-2025-07,Hassan,Economic Offences,2025-07,14,5,24306,7,2,0,3,3,1.667,1.5,1.5,17,0.1176,2
14-5-2025-08,Hassan,Economic Offences,2025-08,14,5,24307,8,2,2,0,0,1.333,1.167,1.417,20,0.1,2
14-5-2025-09,Hassan,Economic Offences,2025-09,14,5,24308,9,2,2,2,1,2.0,1.5,1.583,28,0.0714,4
14-5-2025-10,Hassan,Economic Offences,2025-10,14,5,24309,10,4,2,2,2,2.667,2.167,1.833,22,0.1818,1
14-5-2025-11,Hassan,Economic Offences,2025-11,14,5,24310,11,1,4,2,3,2.333,1.833,1.75,22,0.0455,1
14-5-2025-12,Hassan,Economic Offences,2025-12,14,5,24311,12,1,1,4,0,2.0,2.0,1.583,27,0.037,3
14-5-2026-01,Hassan,Economic Offences,2026-01,14,5,24312,1,3,1,1,4,1.667,2.167,1.833,20,0.15,1
14-5-2026-02,Hassan,Economic Offences,2026-02,14,5,24313,2,1,3,1,0,1.667,2.0,1.583,46,0.0217,1
14-5-2026-03,Hassan,Economic Offences,2026-03,14,5,24314,3,1,1,3,0,1.667,1.833,1.667,32,0.0312,4
14-5-2026-04,Hassan,Economic Offences,2026-04,14,5,24315,4,4,1,1,3,2.0,1.833,2.0,40,0.1,4
14-5-2026-05,Hassan,Economic Offences,2026-05,14,5,24316,5,4,4,1,0,3.0,2.333,2.083,34,0.1176,6
14-5-2026-06,Hassan,Economic Offences,2026-06,14,5,24317,6,6,4,4,2,4.667,3.167,2.583,54,0.1111,4
14-6-2024-04,Hassan,NDPS,2024-04,14,6,24291,4,0,1,0,0,0.333,0.333,0.417,27,0.0,0
14-6-2024-05,Hassan,NDPS,2024-05,14,6,24292,5,0,0,1,0,0.333,0.333,0.417,17,0.0,1
14-6-2024-06,Hassan,NDPS,2024-06,14,6,24293,6,1,0,0,0,0.333,0.5,0.5,15,0.0667,3
14-6-2024-07,Hassan,NDPS,2024-07,14,6,24294,7,3,1,0,1,1.333,0.833,0.75,16,0.1875,0
14-6-2024-08,Hassan,NDPS,2024-08,14,6,24295,8,0,3,1,0,1.333,0.833,0.667,18,0.0,0
14-6-2024-09,Hassan,NDPS,2024-09,14,6,24296,9,0,0,3,2,1.0,0.667,0.667,17,0.0,3
14-6-2024-10,Hassan,NDPS,2024-10,14,6,24297,10,3,0,0,0,1.0,1.167,0.75,22,0.1364,0
14-6-2024-11,Hassan,NDPS,2024-11,14,6,24298,11,0,3,0,0,1.0,1.167,0.75,29,0.0,0
14-6-2024-12,Hassan,NDPS,2024-12,14,6,24299,12,0,0,3,1,1.0,1.0,0.75,21,0.0,1
14-6-2025-01,Hassan,NDPS,2025-01,14,6,24300,1,1,0,0,0,0.333,0.667,0.75,19,0.0526,0
14-6-2025-02,Hassan,NDPS,2025-02,14,6,24301,2,0,1,0,1,0.333,0.667,0.75,23,0.0,0
14-6-2025-03,Hassan,NDPS,2025-03,14,6,24302,3,0,0,1,0,0.333,0.667,0.667,8,0.0,2
14-6-2025-04,Hassan,NDPS,2025-04,14,6,24303,4,2,0,0,0,0.667,0.5,0.833,18,0.1111,0
14-6-2025-05,Hassan,NDPS,2025-05,14,6,24304,5,0,2,0,1,0.667,0.5,0.833,25,0.0,0
14-6-2025-06,Hassan,NDPS,2025-06,14,6,24305,6,0,0,2,3,0.667,0.5,0.75,6,0.0,1
14-6-2025-07,Hassan,NDPS,2025-07,14,6,24306,7,1,0,0,0,0.333,0.5,0.583,17,0.0588,1
14-6-2025-08,Hassan,NDPS,2025-08,14,6,24307,8,1,1,0,0,0.667,0.667,0.667,20,0.05,0
14-6-2025-09,Hassan,NDPS,2025-09,14,6,24308,9,0,1,1,3,0.667,0.667,0.667,28,0.0,0
14-6-2025-10,Hassan,NDPS,2025-10,14,6,24309,10,0,0,1,0,0.333,0.333,0.417,22,0.0,1
14-6-2025-11,Hassan,NDPS,2025-11,14,6,24310,11,1,0,0,0,0.333,0.5,0.5,22,0.0455,1
14-6-2025-12,Hassan,NDPS,2025-12,14,6,24311,12,1,1,0,1,0.667,0.667,0.583,27,0.037,0
14-6-2026-01,Hassan,NDPS,2026-01,14,6,24312,1,0,1,1,0,0.667,0.5,0.5,20,0.0,2
14-6-2026-02,Hassan,NDPS,2026-02,14,6,24313,2,2,0,1,0,1.0,0.667,0.667,46,0.0435,1
14-6-2026-03,Hassan,NDPS,2026-03,14,6,24314,3,1,2,0,2,1.0,0.833,0.75,32,0.0312,1
14-6-2026-04,Hassan,NDPS,2026-04,14,6,24315,4,1,1,2,0,1.333,1.0,0.667,40,0.025,1
14-6-2026-05,Hassan,NDPS,2026-05,14,6,24316,5,1,1,1,0,1.0,1.0,0.75,34,0.0294,1
14-6-2026-06,Hassan,NDPS,2026-06,14,6,24317,6,1,1,1,1,1.0,1.0,0.833,54,0.0185,0
14-7-2024-02,Hassan,Missing / UDR,2024-02,14,7,24289,2,2,2,0,0,1.333,1.0,1.0,21,0.0952,1
14-7-2024-03,Hassan,Missing / UDR,2024-03,14,7,24290,3,1,2,2,0,1.667,1.0,1.083,22,0.0455,1
14-7-2024-04,Hassan,Missing / UDR,2024-04,14,7,24291,4,1,1,2,3,1.333,1.167,1.167,27,0.037,1
14-7-2024-05,Hassan,Missing / UDR,2024-05,14,7,24292,5,1,1,1,2,1.0,1.167,1.0,17,0.0588,0
14-7-2024-06,Hassan,Missing / UDR,2024-06,14,7,24293,6,0,1,1,0,0.667,1.167,0.833,15,0.0,0
14-7-2024-07,Hassan,Missing / UDR,2024-07,14,7,24294,7,0,0,1,1,0.333,0.833,0.833,16,0.0,1
14-7-2024-08,Hassan,Missing / UDR,2024-08,14,7,24295,8,1,0,0,1,0.333,0.667,0.833,18,0.0556,2
14-7-2024-09,Hassan,Missing / UDR,2024-09,14,7,24296,9,2,1,0,0,1.0,0.833,0.917,17,0.1176,0
14-7-2024-10,Hassan,Missing / UDR,2024-10,14,7,24297,10,0,2,1,1,1.0,0.667,0.917,22,0.0,0
14-7-2024-11,Hassan,Missing / UDR,2024-11,14,7,24298,11,0,0,2,0,0.667,0.5,0.833,29,0.0,2
14-7-2024-12,Hassan,Missing / UDR,2024-12,14,7,24299,12,2,0,0,2,0.667,0.833,1.0,21,0.0952,2
14-7-2025-01,Hassan,Missing / UDR,2025-01,14,7,24300,1,2,2,0,2,1.333,1.167,1.0,19,0.1053,3
14-7-2025-02,Hassan,Missing / UDR,2025-02,14,7,24301,2,3,2,2,1,2.333,1.5,1.083,23,0.1304,0
14-7-2025-03,Hassan,Missing / UDR,2025-03,14,7,24302,3,0,3,2,1,1.667,1.167,1.0,8,0.0,4
14-7-2025-04,Hassan,Missing / UDR,2025-04,14,7,24303,4,4,0,3,1,2.333,1.833,1.25,18,0.2222,0
14-7-2025-05,Hassan,Missing / UDR,2025-05,14,7,24304,5,0,4,0,0,1.333,1.833,1.167,25,0.0,0
14-7-2025-06,Hassan,Missing / UDR,2025-06,14,7,24305,6,0,0,4,0,1.333,1.5,1.167,6,0.0,0
14-7-2025-07,Hassan,Missing / UDR,2025-07,14,7,24306,7,0,0,0,1,0.0,1.167,1.167,17,0.0,2
14-7-2025-08,Hassan,Missing / UDR,2025-08,14,7,24307,8,2,0,0,2,0.667,1.0,1.25,20,0.1,0
14-7-2025-09,Hassan,Missing / UDR,2025-09,14,7,24308,9,0,2,0,0,0.667,1.0,1.083,28,0.0,0
14-7-2025-10,Hassan,Missing / UDR,2025-10,14,7,24309,10,0,0,2,0,0.667,0.333,1.083,22,0.0,1
14-7-2025-11,Hassan,Missing / UDR,2025-11,14,7,24310,11,1,0,0,2,0.333,0.5,1.167,22,0.0455,0
14-7-2025-12,Hassan,Missing / UDR,2025-12,14,7,24311,12,0,1,0,2,0.333,0.5,1.0,27,0.0,0
14-7-2026-01,Hassan,Missing / UDR,2026-01,14,7,24312,1,0,0,1,3,0.333,0.5,0.833,20,0.0,1
14-7-2026-02,Hassan,Missing / UDR,2026-02,14,7,24313,2,1,0,0,0,0.333,0.333,0.667,46,0.0217,2
14-7-2026-03,Hassan,Missing / UDR,2026-03,14,7,24314,3,2,1,0,4,1.0,0.667,0.833,32,0.0625,0
14-7-2026-04,Hassan,Missing / UDR,2026-04,14,7,24315,4,0,2,1,0,1.0,0.667,0.5,40,0.0,1
14-7-2026-05,Hassan,Missing / UDR,2026-05,14,7,24316,5,1,0,2,0,1.0,0.667,0.583,34,0.0294,3
14-7-2026-06,Hassan,Missing / UDR,2026-06,14,7,24317,6,3,1,0,0,1.333,1.167,0.833,54,0.0556,1
14-8-2024-03,Hassan,Traffic / PAR,2024-03,14,8,24290,3,0,1,1,1,0.667,0.833,0.667,22,0.0,4
14-8-2024-04,Hassan,Traffic / PAR,2024-04,14,8,24291,4,4,0,1,0,1.667,1.333,0.917,27,0.1481,3
14-8-2024-05,Hassan,Traffic / PAR,2024-05,14,8,24292,5,3,4,0,0,2.333,1.667,1.167,17,0.1765,1
14-8-2024-06,Hassan,Traffic / PAR,2024-06,14,8,24293,6,1,3,4,1,2.667,1.667,1.25,15,0.0667,0
14-8-2024-07,Hassan,Traffic / PAR,2024-07,14,8,24294,7,0,1,3,0,1.333,1.5,1.167,16,0.0,0
14-8-2024-08,Hassan,Traffic / PAR,2024-08,14,8,24295,8,0,0,1,1,0.333,1.333,1.167,18,0.0,0
14-8-2024-09,Hassan,Traffic / PAR,2024-09,14,8,24296,9,0,0,0,1,0.0,1.333,1.083,17,0.0,1
14-8-2024-10,Hassan,Traffic / PAR,2024-10,14,8,24297,10,1,0,0,1,0.333,0.833,1.083,22,0.0455,3
14-8-2024-11,Hassan,Traffic / PAR,2024-11,14,8,24298,11,3,1,0,1,1.333,0.833,1.25,29,0.1034,0
14-8-2024-12,Hassan,Traffic / PAR,2024-12,14,8,24299,12,0,3,1,1,1.333,0.667,1.167,21,0.0,1
14-8-2025-01,Hassan,Traffic / PAR,2025-01,14,8,24300,1,1,0,3,1,1.333,0.833,1.167,19,0.0526,0
14-8-2025-02,Hassan,Traffic / PAR,2025-02,14,8,24301,2,0,1,0,0,0.333,0.833,1.083,23,0.0,0
14-8-2025-03,Hassan,Traffic / PAR,2025-03,14,8,24302,3,0,0,1,4,0.333,0.833,1.083,8,0.0,2
14-8-2025-04,Hassan,Traffic / PAR,2025-04,14,8,24303,4,2,0,0,3,0.667,1.0,0.917,18,0.1111,4
14-8-2025-05,Hassan,Traffic / PAR,2025-05,14,8,24304,5,4,2,0,1,2.0,1.167,1.0,25,0.16,2
14-8-2025-06,Hassan,Traffic / PAR,2025-06,14,8,24305,6,2,4,2,0,2.667,1.5,1.083,6,0.3333,0
14-8-2025-07,Hassan,Traffic / PAR,2025-07,14,8,24306,7,0,2,4,0,2.0,1.333,1.083,17,0.0,2
14-8-2025-08,Hassan,Traffic / PAR,2025-08,14,8,24307,8,2,0,2,0,1.333,1.667,1.25,20,0.1,0
14-8-2025-09,Hassan,Traffic / PAR,2025-09,14,8,24308,9,0,2,0,1,0.667,1.667,1.25,28,0.0,1
14-8-2025-10,Hassan,Traffic / PAR,2025-10,14,8,24309,10,1,0,2,3,1.0,1.5,1.25,22,0.0455,1
14-8-2025-11,Hassan,Traffic / PAR,2025-11,14,8,24310,11,1,1,0,0,0.667,1.0,1.083,22,0.0455,0
14-8-2025-12,Hassan,Traffic / PAR,2025-12,14,8,24311,12,0,1,1,1,0.667,0.667,1.083,27,0.0,1
14-8-2026-01,Hassan,Traffic / PAR,2026-01,14,8,24312,1,1,0,1,0,0.667,0.833,1.083,20,0.05,4
14-8-2026-02,Hassan,Traffic / PAR,2026-02,14,8,24313,2,4,1,0,0,1.667,1.167,1.417,46,0.087,3
14-8-2026-03,Hassan,Traffic / PAR,2026-03,14,8,24314,3,3,4,1,2,2.667,1.667,1.667,32,0.0938,1
14-8-2026-04,Hassan,Traffic / PAR,2026-04,14,8,24315,4,1,3,4,4,2.667,1.667,1.583,40,0.025,3
14-8-2026-05,Hassan,Traffic / PAR,2026-05,14,8,24316,5,3,1,3,2,2.333,2.0,1.5,34,0.0882,3
14-8-2026-06,Hassan,Traffic / PAR,2026-06,14,8,24317,6,3,3,1,0,2.333,2.5,1.583,54,0.0556,2
15-1-2024-02,Mandya,Crimes Against Body,2024-02,15,1,24289,2,4,1,4,2,3.0,2.833,3.25,21,0.1905,2
15-1-2024-03,Mandya,Crimes Against Body,2024-03,15,1,24290,3,2,4,1,4,2.333,2.667,3.25,15,0.1333,5
15-1-2024-04,Mandya,Crimes Against Body,2024-04,15,1,24291,4,5,2,4,4,3.667,3.0,3.333,28,0.1786,3
15-1-2024-05,Mandya,Crimes Against Body,2024-05,15,1,24292,5,3,5,2,3,3.333,3.167,3.25,17,0.1765,1
