prior_cases,days_since_last,span_days,rate_per_yr,n_districts,n_heads,heinous,target_women_365
3,282,568,1.9291,1,2,0,0
3,312,598,1.8324,1,2,0,0
3,342,628,1.7448,1,2,0,0
3,372,658,1.6653,1,2,0,0
3,402,688,1.5927,1,2,0,0
3,432,718,1.5261,1,2,0,0
2,159,357,2.0,2,2,0,0
2,189,387,1.8876,2,2,0,0
2,219,417,1.7518,2,2,0,0
2,249,447,1.6342,2,2,0,0
2,279,477,1.5314,2,2,0,0
2,309,507,1.4408,2,2,0,0
2,339,537,1.3603,2,2,0,0
2,369,567,1.2884,2,2,0,0
2,399,597,1.2236,2,2,0,0
2,429,627,1.1651,2,2,0,0
2,459,657,1.1119,2,2,0,0
2,489,687,1.0633,2,2,0,0
2,519,717,1.0188,2,2,0,0
3,24,747,1.4669,3,3,0,0
3,54,777,1.4102,3,3,0,0
3,84,807,1.3578,3,3,0,0
3,114,837,1.3091,3,3,0,0
3,144,867,1.2638,3,3,0,0
3,174,897,1.2216,3,3,0,0
1,58,58,1.0,1,1,0,0
1,88,88,1.0,1,1,0,0
1,118,118,1.0,1,1,0,0
1,148,148,1.0,1,1,0,0
2,19,178,2.0,2,2,0,0
2,49,208,2.0,2,2,0,0
2,79,238,2.0,2,2,0,0
2,109,268,2.0,2,2,0,0
2,139,298,2.0,2,2,0,0
2,169,328,2.0,2,2,0,0
2,199,358,2.0,2,2,0,0
2,229,388,1.8827,2,2,0,0
2,259,418,1.7476,2,2,0,0
2,289,448,1.6306,2,2,0,0
2,319,478,1.5282,2,2,0,0
2,349,508,1.438,2,2,0,0
2,379,538,1.3578,2,2,0,0
2,409,568,1.2861,2,2,0,0
2,439,598,1.2216,2,2,0,0
1,58,58,1.0,1,1,0,0
1,88,88,1.0,1,1,0,0
2,29,118,2.0,1,2,0,0
2,59,148,2.0,1,2,0,0
2,89,178,2.0,1,2,0,0
2,119,208,2.0,1,2,0,0
2,149,238,2.0,1,2,0,0
2,179,268,2.0,1,2,0,0
2,209,298,2.0,1,2,0,0
3,18,328,3.0,1,2,0,0
3,48,358,3.0,1,2,0,0
4,20,388,3.7655,2,2,1,0
4,50,418,3.4952,2,2,1,0
4,80,448,3.2612,2,2,1,0
4,110,478,3.0565,2,2,1,0
4,140,508,2.876,2,2,1,0
4,170,538,2.7156,2,2,1,0
4,200,568,2.5722,2,2,1,0
4,230,598,2.4431,2,2,1,0
2,56,214,2.0,1,1,1,0
2,86,244,2.0,1,1,1,0
2,116,274,2.0,1,1,1,0
2,146,304,2.0,1,1,1,0
2,176,334,2.0,1,1,1,0
2,206,364,2.0,1,1,1,0
3,3,394,2.7811,1,2,1,0
3,33,424,2.5843,1,2,1,0
3,63,454,2.4135,1,2,1,0
3,93,484,2.2639,1,2,1,0
3,123,514,2.1318,1,2,1,0
4,10,544,2.6857,1,2,1,0
4,40,574,2.5453,1,2,1,0
5,14,604,3.0236,1,2,1,0
5,44,634,2.8805,1,2,1,0
5,74,664,2.7504,1,2,1,0
5,104,694,2.6315,1,2,1,0
5,134,724,2.5224,1,2,1,0
5,164,754,2.4221,1,2,1,0
1,4,4,1.0,1,1,0,0
1,34,34,1.0,1,1,0,0
1,64,64,1.0,1,1,0,0
1,94,94,1.0,1,1,0,0
1,124,124,1.0,1,1,0,0
1,154,154,1.0,1,1,0,0
1,184,184,1.0,1,1,0,0
1,214,214,1.0,1,1,0,0
1,244,244,1.0,1,1,0,0
1,274,274,1.0,1,1,0,0
2,27,304,2.0,1,2,0,0
2,57,334,2.0,1,2,0,0
2,87,364,2.0,1,2,0,0
2,117,394,1.8541,1,2,0,0
2,147,424,1.7229,1,2,0,0
2,177,454,1.609,1,2,0,0
2,207,484,1.5093,1,2,0,0
2,237,514,1.4212,1,2,0,0
1,20,20,1.0,1,1,0,0
1,50,50,1.0,1,1,0,0
1,80,80,1.0,1,1,0,0
1,110,110,1.0,1,1,0,0
1,140,140,1.0,1,1,0,0
1,170,170,1.0,1,1,0,0
1,200,200,1.0,1,1,0,0
1,230,230,1.0,1,1,0,0
1,260,260,1.0,1,1,0,0
1,290,290,1.0,1,1,0,0
1,320,320,1.0,1,1,0,0
1,350,350,1.0,1,1,0,0
1,380,380,0.9612,1,1,0,0
1,410,410,0.8909,1,1,0,0
1,440,440,0.8301,1,1,0,0
1,28,28,1.0,1,1,1,0
1,58,58,1.0,1,1,1,0
1,88,88,1.0,1,1,1,0
1,118,118,1.0,1,1,1,0
1,148,148,1.0,1,1,1,0
1,178,178,1.0,1,1,1,0
1,208,208,1.0,1,1,1,0
2,16,238,2.0,2,2,1,0
2,46,268,2.0,2,2,1,0
2,76,298,2.0,2,2,1,0
2,106,328,2.0,2,2,1,0
2,136,358,2.0,2,2,1,0
1,29,29,1.0,1,1,0,0
1,59,59,1.0,1,1,0,0
2,53,223,2.0,1,2,0,0
2,83,253,2.0,1,2,0,0
2,113,283,2.0,1,2,0,0
2,143,313,2.0,1,2,0,0
2,173,343,2.0,1,2,0,0
2,203,373,1.9584,1,2,0,0
2,233,403,1.8127,1,2,0,0
2,263,433,1.6871,1,2,0,0
2,293,463,1.5778,1,2,0,0
2,323,493,1.4817,1,2,0,0
2,353,523,1.3967,1,2,0,0
2,383,553,1.321,1,2,0,0
2,413,583,1.253,1,2,0,0
3,11,613,1.7875,2,3,0,0
3,41,643,1.7041,2,3,0,0
3,71,673,1.6282,2,3,0,0
3,101,703,1.5587,2,3,0,0
3,131,733,1.4949,2,3,0,0
3,161,763,1.4361,2,3,0,0
2,87,116,2.0,2,1,0,0
2,117,146,2.0,2,1,0,0
2,147,176,2.0,2,1,0,0
2,177,206,2.0,2,1,0,0
2,207,236,2.0,2,1,0,0
2,237,266,2.0,2,1,0,0
2,267,296,2.0,2,1,0,0
2,297,326,2.0,2,1,0,0
2,327,356,2.0,2,1,0,0
2,357,386,1.8925,2,1,0,0
2,387,416,1.756,2,1,0,0
3,5,446,2.4568,3,2,0,0
3,35,476,2.302,3,2,0,0
3,65,506,2.1655,3,2,0,0
3,95,536,2.0443,3,2,0,0
3,125,566,1.936,3,2,0,0
3,155,596,1.8385,3,2,0,0
3,185,626,1.7504,3,2,0,0
3,215,656,1.6704,3,2,0,0
1,315,315,1.0,1,1,1,0
1,345,345,1.0,1,1,1,0
1,375,375,0.974,1,1,1,0
1,405,405,0.9019,1,1,1,0
1,435,435,0.8397,1,1,1,0
1,465,465,0.7855,1,1,1,0
1,495,495,0.7379,1,1,1,0
1,525,525,0.6957,1,1,1,0
1,555,555,0.6581,1,1,1,0
1,585,585,0.6244,1,1,1,0
2,11,615,1.1878,2,1,1,0
2,41,645,1.1326,2,1,1,0
2,71,675,1.0822,2,1,1,0
2,101,705,1.0362,2,1,1,0
2,131,735,0.9939,2,1,1,0
2,161,765,0.9549,2,1,1,0
2,191,795,0.9189,2,1,1,0
2,221,825,0.8855,2,1,1,0
2,251,855,0.8544,2,1,1,0
1,80,80,1.0,1,1,0,0
1,110,110,1.0,1,1,0,0
1,140,140,1.0,1,1,0,0
1,170,170,1.0,1,1,0,0
1,200,200,1.0,1,1,0,0
1,230,230,1.0,1,1,0,0
1,260,260,1.0,1,1,0,0
1,290,290,1.0,1,1,0,0
1,320,320,1.0,1,1,0,0
1,350,350,1.0,1,1,0,0
1,380,380,0.9612,1,1,0,0
1,410,410,0.8909,1,1,0,0
1,440,440,0.8301,1,1,0,0
1,470,470,0.7771,1,1,0,0
1,500,500,0.7305,1,1,0,0
1,530,530,0.6892,1,1,0,0
2,24,560,1.3045,2,1,0,0
2,54,590,1.2381,2,1,0,0
2,84,620,1.1782,2,1,0,0
3,82,351,3.0,3,2,0,0
3,112,381,2.876,3,2,0,0
3,142,411,2.6661,3,2,0,0
3,172,441,2.4847,3,2,0,0
3,202,471,2.3264,3,2,0,0
3,232,501,2.1871,3,2,0,0
3,262,531,2.0636,3,2,0,0
3,292,561,1.9532,3,2,0,0
3,322,591,1.8541,3,2,0,0
3,352,621,1.7645,3,2,0,0
4,10,651,2.2442,4,2,1,0
4,40,681,2.1454,4,2,1,0
4,70,711,2.0549,4,2,1,0
4,100,741,1.9717,4,2,1,0
4,130,771,1.8949,4,2,1,0
4,160,801,1.824,4,2,1,0
4,190,831,1.7581,4,2,1,0
4,220,861,1.6969,4,2,1,0
4,250,891,1.6397,4,2,1,0
1,5,5,1.0,1,1,0,0
1,35,35,1.0,1,1,0,0
1,65,65,1.0,1,1,0,0
1,95,95,1.0,1,1,0,0
1,125,125,1.0,1,1,0,0
1,155,155,1.0,1,1,0,0
1,185,185,1.0,1,1,0,0
1,215,215,1.0,1,1,0,0
1,20,20,1.0,1,1,0,0
1,50,50,1.0,1,1,0,0
1,80,80,1.0,1,1,0,0
1,110,110,1.0,1,1,0,0
1,298,298,1.0,1,1,0,0
1,328,328,1.0,1,1,0,0
1,358,358,1.0,1,1,0,0
1,388,388,0.9414,1,1,0,0
1,418,418,0.8738,1,1,0,0
1,448,448,0.8153,1,1,0,0
1,478,478,0.7641,1,1,0,0
1,508,508,0.719,1,1,0,0
1,538,538,0.6789,1,1,0,0
1,568,568,0.643,1,1,0,0
1,598,598,0.6108,1,1,0,0
1,628,628,0.5816,1,1,0,0
1,658,658,0.5551,1,1,0,0
1,688,688,0.5309,1,1,0,0
2,11,718,1.0174,2,2,1,0
2,41,748,0.9766,2,2,1,0
2,71,778,0.9389,2,2,1,0
2,101,808,0.9041,2,2,1,0
2,131,838,0.8717,2,2,1,0
2,224,305,2.0,2,2,1,0
2,254,335,2.0,2,2,1,0
2,284,365,2.0,2,2,1,1
2,314,395,1.8494,2,2,1,1
2,344,425,1.7188,2,2,1,1
2,374,455,1.6055,2,2,1,1
2,404,485,1.5062,2,2,1,1
2,434,515,1.4184,2,2,1,1
2,464,545,1.3404,2,2,1,1
2,494,575,1.2704,2,2,1,1
2,524,605,1.2074,2,2,1,1
2,554,635,1.1504,2,2,1,1
2,584,665,1.0985,2,2,1,1
2,614,695,1.0511,2,2,1,1
3,20,725,1.5114,2,2,1,0
3,50,755,1.4513,2,2,1,0
4,1,785,1.8611,2,3,1,0
5,9,815,2.2408,3,4,1,0
6,6,845,2.5935,4,4,1,0
2,79,109,2.0,2,1,0,0
2,109,139,2.0,2,1,0,0
2,139,169,2.0,2,1,0,0
2,169,199,2.0,2,1,0,0
2,199,229,2.0,2,1,0,0
2,229,259,2.0,2,1,0,0
2,259,289,2.0,2,1,0,0
2,289,319,2.0,2,1,0,0
2,319,349,2.0,2,1,0,0
2,349,379,1.9274,2,1,0,0
2,379,409,1.7861,2,1,0,0
2,409,439,1.664,2,1,0,0
3,23,469,2.3364,2,2,0,0
3,53,499,2.1959,2,2,0,0
3,83,529,2.0714,2,2,0,0
3,113,559,1.9602,2,2,0,0
3,143,589,1.8604,2,2,0,0
3,173,619,1.7702,2,2,0,0
4,4,649,2.2512,2,2,1,0
1,348,348,1.0,1,1,0,1
1,378,378,0.9663,1,1,0,1
1,408,408,0.8952,1,1,0,1
1,438,438,0.8339,1,1,0,1
1,468,468,0.7804,1,1,0,1
1,498,498,0.7334,1,1,0,1
2,8,528,1.3835,1,2,1,0
2,38,558,1.3091,1,2,1,0
2,68,588,1.2423,1,2,1,0
2,98,618,1.182,1,2,1,0
2,128,648,1.1273,1,2,1,0
2,158,678,1.0774,1,2,1,0
2,188,708,1.0318,1,2,1,0
2,218,738,0.9898,1,2,1,0
2,248,768,0.9512,1,2,1,0
2,278,798,0.9154,1,2,1,0
2,308,828,0.8822,1,2,1,0
2,338,858,0.8514,1,2,1,0
2,368,888,0.8226,1,2,1,0
2,122,172,2.0,2,2,0,0
2,152,202,2.0,2,2,0,0
3,5,232,3.0,2,2,0,0
3,35,262,3.0,2,2,0,0
3,65,292,3.0,2,2,0,0
3,95,322,3.0,2,2,0,0
3,125,352,3.0,2,2,0,0
3,155,382,2.8685,2,2,0,0
3,185,412,2.6596,2,2,0,0
3,215,442,2.4791,2,2,0,0
3,245,472,2.3215,2,2,0,0
3,275,502,2.1828,2,2,0,0
3,305,532,2.0597,2,2,0,0
3,335,562,1.9497,2,2,0,0
3,365,592,1.8509,2,2,0,0
3,395,622,1.7617,2,2,0,0
4,28,652,2.2408,2,3,0,0
4,58,682,2.1422,2,3,0,0
4,88,712,2.052,2,3,0,0
1,191,191,1.0,1,1,0,0
1,221,221,1.0,1,1,0,0
1,251,251,1.0,1,1,0,0
1,281,281,1.0,1,1,0,0
1,311,311,1.0,1,1,0,0
1,341,341,1.0,1,1,0,0
1,371,371,0.9845,1,1,0,0
1,401,401,0.9108,1,1,0,0
1,431,431,0.8474,1,1,0,0
1,461,461,0.7923,1,1,0,0
1,491,491,0.7439,1,1,0,0
2,12,521,1.4021,2,2,0,0
2,42,551,1.3258,2,2,0,0
2,72,581,1.2573,2,2,0,0
2,102,611,1.1956,2,2,0,0
2,132,641,1.1396,2,2,0,0
2,162,671,1.0887,2,2,0,0
2,192,701,1.0421,2,2,0,0
2,222,731,0.9993,2,2,0,0
2,40,245,2.0,2,1,0,0
2,70,275,2.0,2,1,0,0
2,100,305,2.0,2,1,0,0
2,130,335,2.0,2,1,0,0
2,160,365,2.0,2,1,0,0
2,190,395,1.8494,2,1,0,0
2,220,425,1.7188,2,1,0,0
2,250,455,1.6055,2,1,0,0
2,280,485,1.5062,2,1,0,0
2,310,515,1.4184,2,1,0,0
2,340,545,1.3404,2,1,0,0
2,370,575,1.2704,2,1,0,0
2,400,605,1.2074,2,1,0,0
2,430,635,1.1504,2,1,0,0
2,460,665,1.0985,2,1,0,0
2,490,695,1.0511,2,1,0,0
2,520,725,1.0076,2,1,0,0
2,550,755,0.9675,2,1,0,0
2,580,785,0.9306,2,1,0,0
1,101,101,1.0,1,1,1,0
1,131,131,1.0,1,1,1,0
1,161,161,1.0,1,1,1,1
1,191,191,1.0,1,1,1,1
1,221,221,1.0,1,1,1,1
1,251,251,1.0,1,1,1,1
1,281,281,1.0,1,1,1,1
1,311,311,1.0,1,1,1,1
1,341,341,1.0,1,1,1,1
1,371,371,0.9845,1,1,1,1
1,401,401,0.9108,1,1,1,1
1,431,431,0.8474,1,1,1,1
1,461,461,0.7923,1,1,1,1
1,491,491,0.7439,1,1,1,1
1,521,521,0.7011,1,1,1,1
2,26,551,1.3258,2,2,2,0
2,56,581,1.2573,2,2,2,0
2,86,611,1.1956,2,2,2,0
2,116,641,1.1396,2,2,2,0
1,218,218,1.0,1,1,0,0
1,248,248,1.0,1,1,0,0
1,278,278,1.0,1,1,0,0
1,308,308,1.0,1,1,0,0
1,338,338,1.0,1,1,0,0
1,368,368,0.9925,1,1,0,0
2,11,398,1.8354,2,2,0,0
2,41,428,1.7068,2,2,0,0
2,71,458,1.595,2,2,0,0
2,101,488,1.4969,2,2,0,0
2,131,518,1.4102,2,2,0,0
2,161,548,1.333,2,2,0,0
2,191,578,1.2638,2,2,0,0
2,221,608,1.2015,2,2,0,0
2,251,638,1.145,2,2,0,0
2,281,668,1.0936,2,2,0,0
2,311,698,1.0466,2,2,0,0
2,341,728,1.0034,2,2,0,0
2,371,758,0.9637,2,2,0,0
1,171,171,1.0,1,1,0,0
1,201,201,1.0,1,1,0,0
1,231,231,1.0,1,1,0,0
1,261,261,1.0,1,1,0,0
1,291,291,1.0,1,1,0,0
1,321,321,1.0,1,1,0,0
2,6,351,2.0,2,2,0,0
3,7,381,2.876,3,3,0,0
3,37,411,2.6661,3,3,0,0
3,67,441,2.4847,3,3,0,0
3,97,471,2.3264,3,3,0,0
3,127,501,2.1871,3,3,0,0
3,157,531,2.0636,3,3,0,0
4,4,561,2.6043,3,3,0,0
5,0,591,3.0901,4,3,0,0
5,30,621,2.9408,4,3,0,0
5,60,651,2.8053,4,3,0,0
5,90,681,2.6817,4,3,0,0
5,120,711,2.5686,4,3,0,0
6,87,349,6.0,4,4,3,0
6,117,379,5.7823,4,4,3,0
6,147,409,5.3582,4,4,3,0
6,177,439,4.992,4,4,3,0
7,8,469,5.4515,5,4,3,0
7,38,499,5.1237,5,4,3,0
7,68,529,4.8332,5,4,3,0
7,98,559,4.5738,5,4,3,0
7,128,589,4.3408,5,4,3,0
9,5,619,5.3106,5,4,3,0
9,35,649,5.0651,5,4,3,0
10,23,679,5.3792,6,4,4,0
10,53,709,5.1516,6,4,4,0
11,10,739,5.4367,6,4,4,0
11,40,769,5.2246,6,4,4,0
12,23,799,5.4856,6,4,4,0
12,53,829,5.2871,6,4,4,0
12,83,859,5.1024,6,4,4,0
12,113,889,4.9303,6,4,4,0
1,7,7,1.0,1,1,0,1
2,7,37,2.0,2,2,0,0
2,37,67,2.0,2,2,0,0
1,358,358,1.0,1,1,0,0
1,388,388,0.9414,1,1,0,0
1,418,418,0.8738,1,1,0,0
1,448,448,0.8153,1,1,0,0
1,478,478,0.7641,1,1,0,0
1,508,508,0.719,1,1,0,0
1,538,538,0.6789,1,1,0,0
1,568,568,0.643,1,1,0,0
1,598,598,0.6108,1,1,0,0
1,628,628,0.5816,1,1,0,0
1,658,658,0.5551,1,1,0,0
1,688,688,0.5309,1,1,0,0
2,15,718,1.0174,2,2,0,0
2,45,748,0.9766,2,2,0,0
2,75,778,0.9389,2,2,0,0
2,105,808,0.9041,2,2,0,0
2,135,838,0.8717,2,2,0,0
2,165,868,0.8416,2,2,0,0
2,195,898,0.8135,2,2,0,0
1,100,100,1.0,1,1,0,0
1,130,130,1.0,1,1,0,0
2,17,160,2.0,1,1,0,0
2,47,190,2.0,1,1,0,0
3,3,220,3.0,2,2,0,0
3,33,250,3.0,2,2,0,0
3,63,280,3.0,2,2,0,0
3,93,310,3.0,2,2,0,0
3,123,340,3.0,2,2,0,0
3,153,370,2.9615,2,2,0,0
3,183,400,2.7394,2,2,0,0
4,7,430,3.3977,2,2,0,0
4,37,460,3.1761,2,2,0,0
4,67,490,2.9816,2,2,0,0
4,97,520,2.8096,2,2,0,0
4,127,550,2.6564,2,2,0,0
4,157,580,2.519,2,2,0,0
4,187,610,2.3951,2,2,0,0
4,217,640,2.2828,2,2,0,0
1,289,289,1.0,1,1,0,0
1,319,319,1.0,1,1,0,0
1,349,349,1.0,1,1,0,0
1,379,379,0.9637,1,1,0,0
1,409,409,0.893,1,1,0,0
1,439,439,0.832,1,1,0,0
1,469,469,0.7788,1,1,0,0
1,499,499,0.732,1,1,0,0
2,18,529,1.3809,1,1,0,0
2,48,559,1.3068,1,1,0,0
2,78,589,1.2402,1,1,0,0
2,108,619,1.1801,1,1,0,0
2,138,649,1.1256,1,1,0,0
2,168,679,1.0758,1,1,0,0
2,198,709,1.0303,1,1,0,0
2,228,739,0.9885,1,1,0,0
2,258,769,0.9499,1,1,0,0
2,288,799,0.9143,1,1,0,0
2,318,829,0.8812,1,1,0,0
1,5,5,1.0,1,1,0,0
1,35,35,1.0,1,1,0,0
1,65,65,1.0,1,1,0,0
1,95,95,1.0,1,1,0,0
1,125,125,1.0,1,1,0,0
2,0,155,2.0,2,2,0,0
3,0,185,3.0,2,2,0,0
3,30,215,3.0,2,2,0,0
3,60,245,3.0,2,2,0,0
3,90,275,3.0,2,2,0,0
3,120,305,3.0,2,2,0,0
3,150,335,3.0,2,2,0,0
3,180,365,3.0,2,2,0,1
3,210,395,2.7741,2,2,0,1
3,240,425,2.5782,2,2,0,1
3,270,455,2.4082,2,2,0,1
3,300,485,2.2593,2,2,0,1
1,81,81,1.0,1,1,0,0
1,111,111,1.0,1,1,0,0
1,141,141,1.0,1,1,0,0
1,171,171,1.0,1,1,0,0
1,201,201,1.0,1,1,0,0
1,231,231,1.0,1,1,0,0
1,261,261,1.0,1,1,0,0
1,291,291,1.0,1,1,0,0
1,321,321,1.0,1,1,0,0
1,351,351,1.0,1,1,0,0
1,381,381,0.9587,1,1,0,0
1,411,411,0.8887,1,1,0,0
1,441,441,0.8282,1,1,0,0
1,471,471,0.7755,1,1,0,0
1,501,501,0.729,1,1,0,0
1,531,531,0.6879,1,1,0,0
1,561,561,0.6511,1,1,0,0
1,591,591,0.618,1,1,0,0
1,621,621,0.5882,1,1,0,0
2,45,268,2.0,2,2,0,0
2,75,298,2.0,2,2,0,0
2,105,328,2.0,2,2,0,0
2,135,358,2.0,2,2,0,0
2,165,388,1.8827,2,2,0,0
2,195,418,1.7476,2,2,0,0
2,225,448,1.6306,2,2,0,0
2,255,478,1.5282,2,2,0,0
2,285,508,1.438,2,2,0,0
2,315,538,1.3578,2,2,0,0
2,345,568,1.2861,2,2,0,0
2,375,598,1.2216,2,2,0,0
2,405,628,1.1632,2,2,0,0
3,0,658,1.6653,3,2,0,1
3,30,688,1.5927,3,2,0,1
3,60,718,1.5261,3,2,0,1
3,90,748,1.4649,3,2,0,1
3,120,778,1.4084,3,2,0,1
3,150,808,1.3561,3,2,0,1
2,204,345,2.0,2,2,0,0
2,234,375,1.948,2,2,0,0
2,264,405,1.8037,2,2,0,0
2,294,435,1.6793,2,2,0,0
2,324,465,1.571,2,2,0,0
2,354,495,1.4758,2,2,0,0
2,384,525,1.3914,2,2,0,0
2,414,555,1.3162,2,2,0,0
2,444,585,1.2487,2,2,0,0
2,474,615,1.1878,2,2,0,0
2,504,645,1.1326,2,2,0,0
2,534,675,1.0822,2,2,0,0
2,564,705,1.0362,2,2,0,0
2,594,735,0.9939,2,2,0,0
2,624,765,0.9549,2,2,0,0
2,654,795,0.9189,2,2,0,0
2,684,825,0.8855,2,2,0,0
2,714,855,0.8544,2,2,0,0
2,744,885,0.8254,2,2,0,0
1,28,28,1.0,1,1,0,0
1,58,58,1.0,1,1,0,0
1,88,88,1.0,1,1,0,0
1,118,118,1.0,1,1,0,0
1,148,148,1.0,1,1,0,0
1,178,178,1.0,1,1,0,0
1,208,208,1.0,1,1,0,0
1,238,238,1.0,1,1,0,0
1,268,268,1.0,1,1,0,0
1,298,298,1.0,1,1,0,0
1,328,328,1.0,1,1,0,0
1,358,358,1.0,1,1,0,0
1,388,388,0.9414,1,1,0,0
1,418,418,0.8738,1,1,0,0
2,14,448,1.6306,2,2,0,0
2,44,478,1.5282,2,2,0,0
2,74,508,1.438,2,2,0,0
3,53,134,3.0,2,1,0,0
3,83,164,3.0,2,1,0,0
3,113,194,3.0,2,1,0,0
3,143,224,3.0,2,1,0,0
3,173,254,3.0,2,1,0,0
3,203,284,3.0,2,1,0,0
3,233,314,3.0,2,1,0,0
3,263,344,3.0,2,1,0,0
3,293,374,2.9298,2,1,0,0
3,323,404,2.7123,2,1,0,0
3,353,434,2.5248,2,1,0,0
3,383,464,2.3615,2,1,0,0
4,19,494,2.9575,3,2,0,0
4,49,524,2.7882,3,2,0,0
5,12,554,3.2965,4,3,0,0
5,42,584,3.1271,4,3,0,0
5,72,614,2.9743,4,3,0,0
5,102,644,2.8358,4,3,0,0
5,132,674,2.7096,4,3,0,0
1,26,26,1.0,1,1,0,0
1,56,56,1.0,1,1,0,0
1,86,86,1.0,1,1,0,0
1,116,116,1.0,1,1,0,0
1,146,146,1.0,1,1,0,0
1,176,176,1.0,1,1,0,0
1,206,206,1.0,1,1,0,0
1,236,236,1.0,1,1,0,0
1,266,266,1.0,1,1,0,0
1,296,296,1.0,1,1,0,0
1,326,326,1.0,1,1,0,0
2,48,236,2.0,1,2,0,0
2,78,266,2.0,1,2,0,0
2,108,296,2.0,1,2,0,0
2,138,326,2.0,1,2,0,0
2,168,356,2.0,1,2,0,0
2,198,386,1.8925,1,2,0,0
2,228,416,1.756,1,2,0,0
2,258,446,1.6379,1,2,0,0
2,288,476,1.5347,1,2,0,0
2,318,506,1.4437,1,2,0,0
2,348,536,1.3629,1,2,0,0
3,7,566,1.936,2,3,0,1
3,37,596,1.8385,2,3,0,1
4,9,626,2.3339,2,4,1,0
4,39,656,2.2271,2,4,1,0
4,69,686,2.1297,2,4,1,0
4,99,716,2.0405,2,4,1,0
4,129,746,1.9584,2,4,1,0
4,159,776,1.8827,2,4,1,0
1,25,25,1.0,1,1,0,0
1,55,55,1.0,1,1,0,0
1,85,85,1.0,1,1,0,0
1,115,115,1.0,1,1,0,0
1,145,145,1.0,1,1,0,0
1,175,175,1.0,1,1,0,0
1,205,205,1.0,1,1,0,0
1,235,235,1.0,1,1,0,0
1,265,265,1.0,1,1,0,0
1,295,295,1.0,1,1,0,0
1,325,325,1.0,1,1,0,0
1,355,355,1.0,1,1,0,0
1,385,385,0.9487,1,1,0,0
1,415,415,0.8801,1,1,0,0
1,445,445,0.8208,1,1,0,0
1,475,475,0.7689,1,1,0,0
2,22,505,1.4465,2,2,0,0
2,52,535,1.3654,2,2,0,0
2,86,359,2.0,2,2,0,0
2,116,389,1.8779,2,2,0,0
2,146,419,1.7434,2,2,0,0
2,176,449,1.6269,2,2,0,0
2,206,479,1.5251,2,2,0,0
2,236,509,1.4352,2,2,0,0
2,266,539,1.3553,2,2,0,0
2,296,569,1.2838,2,2,0,0
2,326,599,1.2195,2,2,0,0
2,356,629,1.1614,2,2,0,0
2,386,659,1.1085,2,2,0,0
2,416,689,1.0602,2,2,0,0
3,2,719,1.524,3,3,0,0
3,32,749,1.463,3,3,0,0
3,62,779,1.4066,3,3,0,0
3,92,809,1.3544,3,3,0,0
3,122,839,1.306,3,3,0,0
3,152,869,1.2609,3,3,0,0
3,182,899,1.2189,3,3,0,0
2,11,64,2.0,1,2,0,0
3,7,94,3.0,1,2,0,0
3,37,124,3.0,1,2,0,0
3,67,154,3.0,1,2,0,0
3,97,184,3.0,1,2,0,0
3,127,214,3.0,1,2,0,0
3,157,244,3.0,1,2,0,0
3,187,274,3.0,1,2,0,0
3,217,304,3.0,1,2,0,0
3,247,334,3.0,1,2,0,0
3,277,364,3.0,1,2,0,0
3,307,394,2.7811,1,2,0,0
3,337,424,2.5843,1,2,0,0
3,367,454,2.4135,1,2,0,0
3,397,484,2.2639,1,2,0,0
3,427,514,2.1318,1,2,0,0
3,457,544,2.0142,1,2,0,0
3,487,574,1.909,1,2,0,0
4,22,604,2.4189,2,2,0,0
3,107,217,3.0,2,2,1,0
3,137,247,3.0,2,2,1,0
3,167,277,3.0,2,2,1,0
3,197,307,3.0,2,2,1,0
3,227,337,3.0,2,2,1,0
3,257,367,2.9857,2,2,1,0
3,287,397,2.7601,2,2,1,0
3,317,427,2.5662,2,2,1,0
3,347,457,2.3977,2,2,1,0
3,377,487,2.25,2,2,1,0
3,407,517,2.1194,2,2,1,0
3,437,547,2.0032,2,2,1,0
3,467,577,1.899,2,2,1,0
3,497,607,1.8052,2,2,1,0
3,527,637,1.7202,2,2,1,0
3,557,667,1.6428,2,2,1,0
3,587,697,1.5721,2,2,1,0
3,617,727,1.5072,2,2,1,0
3,647,757,1.4475,2,2,1,0
2,3,29,2.0,2,2,0,0
2,33,59,2.0,2,2,0,0
2,63,89,2.0,2,2,0,0
2,93,119,2.0,2,2,0,0
2,123,149,2.0,2,2,0,0
2,153,179,2.0,2,2,0,0
2,183,209,2.0,2,2,0,0
2,213,239,2.0,2,2,0,0
2,243,269,2.0,2,2,0,0
2,273,299,2.0,2,2,0,0
1,59,59,1.0,1,1,0,0
1,89,89,1.0,1,1,0,0
1,119,119,1.0,1,1,0,0
1,149,149,1.0,1,1,0,0
1,179,179,1.0,1,1,0,0
1,209,209,1.0,1,1,0,0
1,239,239,1.0,1,1,0,0
1,269,269,1.0,1,1,0,0
1,299,299,1.0,1,1,0,0
1,329,329,1.0,1,1,0,0
2,17,359,2.0,2,2,0,0
2,47,389,1.8779,2,2,0,0
2,77,419,1.7434,2,2,0,0
2,107,449,1.6269,2,2,0,0
2,137,479,1.5251,2,2,0,0
2,167,509,1.4352,2,2,0,0
2,197,539,1.3553,2,2,0,0
2,227,569,1.2838,2,2,0,0
2,257,599,1.2195,2,2,0,0
3,39,357,3.0,3,2,0,0
3,69,387,2.8314,3,2,0,0
3,99,417,2.6277,3,2,0,0
